"id1","id2"
"1","75800424","81615392"
"2","75800424","80576132"
"3","75800424","81710198"
"4","76404994","80154392"
"5","75255402","82034624"
"6","77661244","81120152"
"7","76048910","79237666"
"8","79711466","79514924"
"9","79495294","81104036"
"10","79666270","77932370"
"11","79666270","70436946"
"12","77932370","70436946"
"13","77932370","78000080"
"14","99939756","80558566"
"15","81104036","80300724"
"16","81104036","78037776"
"17","80300724","78037776"
"18","70057404","75502466"
"19","76404994","81604564"
"20","82039162","81604564"
"21","82039162","82259236"
"22","81604564","82259236"
"23","82039162","83700182"
"24","80154392","76399394"
"25","83700182","76399394"
"26","77000502","76368400"
"27","79666270","80294882"
"28","79297704","80294882"
"29","78962448","80792246"
"30","80193474","71177120"
"31","80955410","71177120"
"32","80541080","83743190"
"33","79158676","81136294"
"34","79158676","80282290"
"35","81136294","80282290"
"36","70057404","82273198"
"37","79138288","82354328"
"38","81866262","82354328"
"39","71955052","79424554"
"40","80840636","79424554"
"41","79424554","77744630"
"42","71428114","83694768"
"43","83776322","83694768"
"44","71428114","78105522"
"45","79091778","82230430"
"46","80541080","82230430"
"47","79711466","80941798"
"48","79711466","79170930"
"49","75705962","69433580"
"50","80848500","81307160"
"51","81562142","80123616"
"52","78759982","80123616"
"53","80119732","76077102"
"54","80119732","79005718"
"55","76077102","79005718"
"56","81182918","69942180"
"57","77707900","78890202"
"58","77707900","70160964"
"59","69572502","79045192"
"60","78890202","77418256"
"61","79746552","76112272"
"62","79796776","79316008"
"63","79796776","78686632"
"64","82643976","82836900"
"65","82643976","83021406"
"66","83021406","81186902"
"67","83021406","83009568"
"68","78976510","78180120"
"69","79353326","69913298"
"70","79091778","80713388"
"71","80193474","79258342"
"72","80994984","79258342"
"73","80955410","79258342"
"74","71177120","79258342"
"75","80193474","79321424"
"76","71177120","82513948"
"77","71857870","76065440"
"78","81581312","79937680"
"79","81581312","81490390"
"80","82445758","81490390"
"81","77649096","81490390"
"82","77735038","70597828"
"83","76368400","70597828"
"84","70597828","80355568"
"85","82348230","77837380"
